feature,feature_label,module,ROI.name,value_raw,value_z
MCPI,MCPI,typeVI_terpene_metabolism,AbaxialMesophyll,34.876434326171875,-0.3907295763492584
EOT1,EOT1,typeVI_terpene_metabolism,AbaxialMesophyll,0.0,-0.34890925884246826
RBCS-1,RBCS-1,reference_control,AbaxialMesophyll,231.12564086914062,-0.24227528274059296
PSBO,PSBO,reference_control,AbaxialMesophyll,104.39022827148438,-0.34496867656707764
Histone H4,Histone H4,reference_control,AbaxialMesophyll,381.2579345703125,-0.6979165077209473
MTR3,MTR3,trichome_morphogenesis,Vasculature,17.264625549316406,-0.5805690288543701
TOE1B,TOE1B,glandular_regulation,Vasculature,17.213947296142578,0.1793500781059265
ABC Transporter,ABC Transporter,typeIV_acylsugar_metabolism,Vasculature,0.0,-0.5323851108551025
ASH3,ASH3,typeIV_acylsugar_metabolism,Vasculature,8.051673889160156,-0.7608966827392578
MCPI,MCPI,typeVI_terpene_metabolism,Vasculature,46.962806701660156,-0.08269615471363068
EOT1,EOT1,typeVI_terpene_metabolism,Vasculature,0.6286896467208862,-0.3326862156391144
RBCS-1,RBCS-1,reference_control,Vasculature,215.3331298828125,-0.36028608679771423
PSBO,PSBO,reference_control,Vasculature,100.7240982055664,-0.43267810344696045
Histone H4,Histone H4,reference_control,Vasculature,438.1549072265625,-0.6064139008522034
MTR3,MTR3,trichome_morphogenesis,LeafMargin,96.12340545654297,-0.3891730010509491
TOE1B,TOE1B,glandular_regulation,LeafMargin,13.186197280883789,-0.21575896441936493
ABC Transporter,ABC Transporter,typeIV_acylsugar_metabolism,LeafMargin,0.48270508646965027,-0.30917203426361084
ASH3,ASH3,typeIV_acylsugar_metabolism,LeafMargin,21.185096740722656,-0.11454598605632782
MCPI,MCPI,typeVI_terpene_metabolism,LeafMargin,159.65213012695312,2.7893054485321045
EOT1,EOT1,typeVI_terpene_metabolism,LeafMargin,4.2578444480896,-0.23903773725032806
RBCS-1,RBCS-1,reference_control,LeafMargin,225.5377960205078,-0.2840309143066406
PSBO,PSBO,reference_control,LeafMargin,119.80457305908203,0.023807980120182037
Histone H4,Histone H4,reference_control,LeafMargin,1175.330810546875,0.5791240930557251
MTR3,MTR3,trichome_morphogenesis,RibZone,96.12340545654297,-0.3891730010509491
TOE1B,TOE1B,glandular_regulation,RibZone,13.186197280883789,-0.21575896441936493
ABC Transporter,ABC Transporter,typeIV_acylsugar_metabolism,RibZone,0.48270508646965027,-0.30917203426361084
ASH3,ASH3,typeIV_acylsugar_metabolism,RibZone,21.185096740722656,-0.11454598605632782
MCPI,MCPI,typeVI_terpene_metabolism,RibZone,159.65213012695312,2.7893054485321045
EOT1,EOT1,typeVI_terpene_metabolism,RibZone,4.2578444480896,-0.23903773725032806
RBCS-1,RBCS-1,reference_control,RibZone,225.5377960205078,-0.2840309143066406
PSBO,PSBO,reference_control,RibZone,119.80457305908203,0.023807980120182037
Histone H4,Histone H4,reference_control,RibZone,1175.330810546875,0.5791240930557251
MTR3,MTR3,trichome_morphogenesis,OC,14.756765365600586,-0.5866557955741882
TOE1B,TOE1B,glandular_regulation,OC,6.451107025146484,-0.8764491677284241
ABC Transporter,ABC Transporter,typeIV_acylsugar_metabolism,OC,0.6334100961685181,-0.23948286473751068
ASH3,ASH3,typeIV_acylsugar_metabolism,OC,7.810827732086182,-0.7727497220039368
MCPI,MCPI,typeVI_terpene_metabolism,OC,36.913028717041016,-0.33882492780685425
EOT1,EOT1,typeVI_terpene_metabolism,OC,0.0,-0.34890925884246826
RBCS-1,RBCS-1,reference_control,OC,187.94918823242188,-0.5649147629737854
PSBO,PSBO,reference_control,OC,117.00464630126953,-0.043178170919418335
Histone H4,Histone H4,reference_control,OC,429.7171325683594,-0.6199836730957031
