ROI.name,feature,feature_label,feature_type,module,value_raw,value_z,mapping_note,key_gene
Vasculature,typeVI_terpene_metabolism_score,Type VI terpene metabolism,module,typeVI_terpene_metabolism,-0.04399506,-0.04399506,,False
Vasculature,reference_control_score,Reference control,module,reference_control,-0.08294863,-0.08294863,,False
LeafMargin,epidermal_identity_score,Epidermal identity,module,epidermal_identity,-0.06991161,-0.06991161,,False
LeafMargin,trichome_morphogenesis_score,Trichome morphogenesis,module,trichome_morphogenesis,-0.035670076,-0.035670076,,False
LeafMargin,glandular_regulation_score,Glandular regulation,module,glandular_regulation,-0.024817808,-0.024817808,,False
LeafMargin,typeIV_acylsugar_metabolism_score,Type IV acylsugar metabolism,module,typeIV_acylsugar_metabolism,-0.007189088,-0.007189088,,False
LeafMargin,typeVI_terpene_metabolism_score,Type VI terpene metabolism,module,typeVI_terpene_metabolism,0.009505809,0.009505809,,False
LeafMargin,reference_control_score,Reference control,module,reference_control,-0.00036871003,-0.00036871003,,False
RibZone,epidermal_identity_score,Epidermal identity,module,epidermal_identity,-0.06991161,-0.06991161,,False
RibZone,trichome_morphogenesis_score,Trichome morphogenesis,module,trichome_morphogenesis,-0.035670076,-0.035670076,,False
RibZone,glandular_regulation_score,Glandular regulation,module,glandular_regulation,-0.024817808,-0.024817808,,False
RibZone,typeIV_acylsugar_metabolism_score,Type IV acylsugar metabolism,module,typeIV_acylsugar_metabolism,-0.007189088,-0.007189088,,False
RibZone,typeVI_terpene_metabolism_score,Type VI terpene metabolism,module,typeVI_terpene_metabolism,0.009505809,0.009505809,,False
RibZone,reference_control_score,Reference control,module,reference_control,-0.00036871003,-0.00036871003,,False
OC,epidermal_identity_score,Epidermal identity,module,epidermal_identity,-0.12937601,-0.12937601,,False
OC,trichome_morphogenesis_score,Trichome morphogenesis,module,trichome_morphogenesis,-0.07624574,-0.07624574,,False
OC,glandular_regulation_score,Glandular regulation,module,glandular_regulation,-0.049486943,-0.049486943,,False
OC,typeIV_acylsugar_metabolism_score,Type IV acylsugar metabolism,module,typeIV_acylsugar_metabolism,-0.030203361,-0.030203361,,False
OC,typeVI_terpene_metabolism_score,Type VI terpene metabolism,module,typeVI_terpene_metabolism,-0.045033857,-0.045033857,,False
OC,reference_control_score,Reference control,module,reference_control,-0.095729716,-0.095729716,,False
Meristem,ML1,ML1,gene,epidermal_identity,33.817996978759766,-0.6818385124206543,,False
Meristem,PDF1,PDF1,gene,epidermal_identity,249.36058044433594,-0.5628723502159119,,False
Meristem,CD2,CD2,gene,epidermal_identity,661.607421875,0.5385152697563171,,False
Meristem,SVB,SVB,gene,epidermal_identity,17.642648696899414,-0.646526575088501,,False
Meristem,WOOLLY,WOOLLY,gene,epidermal_identity,8.939215660095215,-0.6967044472694397,,False
Meristem,WOX3b,WOX3b,gene,trichome_morphogenesis,1.28131103515625,-0.3437591791152954,,False
Meristem,MX1 / MIXTA,MX1 / MIXTA,gene,trichome_morphogenesis,1.4117399454116821,-0.3358733355998993,,False
Meristem,MTR2 / CycB3,MTR2 / CycB3,gene,trichome_morphogenesis,3.9085121154785156,-0.46302151679992676,,False
Meristem,MTR3,MTR3,gene,trichome_morphogenesis,14.756765365600586,-0.5866557955741882,,True
Meristem,HAIR,HAIR,gene,trichome_morphogenesis,0.19213832914829254,-0.4098389446735382,,False
Meristem,Hairless,Hairless,gene,trichome_morphogenesis,32.567413330078125,-0.7131810784339905,,False
Meristem,Glandless,Glandless,gene,glandular_regulation,65.35302734375,-0.26336589455604553,,False
Meristem,GCR1,GCR1,gene,glandular_regulation,1.123792290687561,-0.3275618255138397,,False
Meristem,GCR2,GCR2,gene,glandular_regulation,0.0,-0.3481692373752594,,False
Meristem,TOE1B,TOE1B,gene,glandular_regulation,6.451107025146484,-0.8764491677284241,,True
Meristem,LFS,LFS,gene,glandular_regulation,2.1425411701202393,-0.40422531962394714,,False
Meristem,AACS1,AACS1,gene,typeIV_acylsugar_metabolism,0.0,-0.3180793523788452,,False
Meristem,AECH1,AECH1,gene,typeIV_acylsugar_metabolism,0.0,-0.40596646070480347,,False
Meristem,ABC Transporter,ABC Transporter,gene,typeIV_acylsugar_metabolism,0.6334100961685181,-0.23948286473751068,,True
Meristem,ASAT2,ASAT2,gene,typeIV_acylsugar_metabolism,0.0,-0.4413694143295288,,False
Meristem,ASH3,ASH3,gene,typeIV_acylsugar_metabolism,7.810827732086182,-0.7727497220039368,,True
Meristem,MCPI,MCPI,gene,typeVI_terpene_metabolism,36.913028717041016,-0.33882492780685425,,True
Meristem,EOT1,EOT1,gene,typeVI_terpene_metabolism,0.0,-0.34890925884246826,,True
Meristem,EOT2,EOT2,gene,typeVI_terpene_metabolism,0.0,-0.46460145711898804,,False
Meristem,TPS9,TPS9,gene,typeVI_terpene_metabolism,10.212902069091797,0.08723874390125275,,False
Meristem,RBCS-1,RBCS-1,gene,reference_control,187.94918823242188,-0.5649147629737854,,True
Meristem,CAB13,CAB13,gene,reference_control,339.7240905761719,-0.23265299201011658,,False
Meristem,PSBO,PSBO,gene,reference_control,117.00464630126953,-0.043178170919418335,,True
Meristem,PSBS,PSBS,gene,reference_control,131.68862915039062,0.21267449855804443,,False
Meristem,PSBR,PSBR,gene,reference_control,569.2061157226562,-0.2499793916940689,,False
Meristem,WEE1,WEE1,gene,reference_control,18.848339080810547,-0.9090110659599304,,False
Meristem,Histone H4,Histone H4,gene,reference_control,429.7171325683594,-0.6199836730957031,,True
MeristemEpidermis,ML1,ML1,gene,epidermal_identity,645.1329345703125,1.7147948741912842,,False
MeristemEpidermis,PDF1,PDF1,gene,epidermal_identity,1485.7359619140625,0.4258892834186554,,False
MeristemEpidermis,CD2,CD2,gene,epidermal_identity,527.8270263671875,0.0620744526386261,,False
MeristemEpidermis,SVB,SVB,gene,epidermal_identity,231.5462646484375,0.765869677066803,,False
MeristemEpidermis,WOOLLY,WOOLLY,gene,epidermal_identity,216.79550170898438,1.6417937278747559,,False
MeristemEpidermis,WOX3b,WOX3b,gene,trichome_morphogenesis,2.5716373920440674,-0.31936904788017273,,False
MeristemEpidermis,MX1 / MIXTA,MX1 / MIXTA,gene,trichome_morphogenesis,5.1680779457092285,-0.26573240756988525,,False
MeristemEpidermis,MTR2 / CycB3,MTR2 / CycB3,gene,trichome_morphogenesis,39.08529281616211,0.014295201748609543,,False
MeristemEpidermis,MTR3,MTR3,gene,trichome_morphogenesis,473.9981384277344,0.527956485748291,,True
MeristemEpidermis,HAIR,HAIR,gene,trichome_morphogenesis,2.407562017440796,-0.12579604983329773,,False
MeristemEpidermis,Hairless,Hairless,gene,trichome_morphogenesis,35.295860290527344,0.008688727393746376,,False
MeristemEpidermis,Glandless,Glandless,gene,glandular_regulation,123.40286254882812,-0.11982652544975281,,False
MeristemEpidermis,GCR1,GCR1,gene,glandular_regulation,2.310016632080078,-0.2913331091403961,,False
MeristemEpidermis,GCR2,GCR2,gene,glandular_regulation,0.5061599612236023,-0.3357609510421753,,False
MeristemEpidermis,TOE1B,TOE1B,gene,glandular_regulation,5.362394332885742,-0.9832483530044556,,True
MeristemEpidermis,LFS,LFS,gene,glandular_regulation,2.4287521839141846,-0.37273192405700684,,False
MeristemEpidermis,AACS1,AACS1,gene,typeIV_acylsugar_metabolism,0.0,-0.3180793523788452,,False
MeristemEpidermis,AECH1,AECH1,gene,typeIV_acylsugar_metabolism,0.0,-0.40596646070480347,,False
